2,HASC,87
2,Single Chest,80
3,HASC,86
3,Single Chest,74
5,HASC,84
5,Single Chest,65
7,HASC,78
7,Single Chest,60
8,HASC,76
8,Single Chest,55
10,HASC,68
10,Single Chest,50
20,HASC,46
20,Single Chest,50
